Sample Name	Protocol REF	Comment[sequencing center]	Parameter Value[sequencing technology]	Parameter Value[library type]	Parameter Value[mean paired end distance]	Unit	Term Source REF	Term Accession Number	Parameter Value[mean read length]	Unit	Term Source REF	Term Accession Number	Comment[Mean Coverage per Sample]	Assay Name	Raw Data File	Comment[Data Repository]	Comment[Data Record Accession]	Comment[Data Record URI]	Comment[location of sequence data on GIAB ftp site]	Factor Value[ancestry]
HG002	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG002_Illumina paired end WGS_replicate 50	SRX847911	NCBI Sequence Read Archive	SRX847911	http://www.ncbi.nlm.nih.gov/sra/SRX847911	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/AshkenazimTrio/HG002_NA24385_son/NIST_HiSeq_HG002_Homogeneity-10953946/HG002_HiSeq300x_fastq/	Ashkenazi Jewish
HG002	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG002_Illumina paired end WGS_replicate 51	SRX847912	NCBI Sequence Read Archive	SRX847912	http://www.ncbi.nlm.nih.gov/sra/SRX847912	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/AshkenazimTrio/HG002_NA24385_son/NIST_HiSeq_HG002_Homogeneity-10953946/HG002_HiSeq300x_fastq/	Ashkenazi Jewish
HG002	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG002_Illumina paired end WGS_replicate 52	SRX847913	NCBI Sequence Read Archive	SRX847913	http://www.ncbi.nlm.nih.gov/sra/SRX847913	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/AshkenazimTrio/HG002_NA24385_son/NIST_HiSeq_HG002_Homogeneity-10953946/HG002_HiSeq300x_fastq/	Ashkenazi Jewish
HG002	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG002_Illumina paired end WGS_replicate 53	SRX847914	NCBI Sequence Read Archive	SRX847914	http://www.ncbi.nlm.nih.gov/sra/SRX847914	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/AshkenazimTrio/HG002_NA24385_son/NIST_HiSeq_HG002_Homogeneity-10953946/HG002_HiSeq300x_fastq/	Ashkenazi Jewish
HG002	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG002_Illumina paired end WGS_replicate 54	SRX847915	NCBI Sequence Read Archive	SRX847915	http://www.ncbi.nlm.nih.gov/sra/SRX847915	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/AshkenazimTrio/HG002_NA24385_son/NIST_HiSeq_HG002_Homogeneity-10953946/HG002_HiSeq300x_fastq/	Ashkenazi Jewish
HG002	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG002_Illumina paired end WGS_replicate 55	SRX847916	NCBI Sequence Read Archive	SRX847916	http://www.ncbi.nlm.nih.gov/sra/SRX847916	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/AshkenazimTrio/HG002_NA24385_son/NIST_HiSeq_HG002_Homogeneity-10953946/HG002_HiSeq300x_fastq/	Ashkenazi Jewish
HG002	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG002_Illumina paired end WGS_replicate 56	SRX847917	NCBI Sequence Read Archive	SRX847917	http://www.ncbi.nlm.nih.gov/sra/SRX847917	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/AshkenazimTrio/HG002_NA24385_son/NIST_HiSeq_HG002_Homogeneity-10953946/HG002_HiSeq300x_fastq/	Ashkenazi Jewish
HG002	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG002_Illumina paired end WGS_replicate 57	SRX847918	NCBI Sequence Read Archive	SRX847918	http://www.ncbi.nlm.nih.gov/sra/SRX847918	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/AshkenazimTrio/HG002_NA24385_son/NIST_HiSeq_HG002_Homogeneity-10953946/HG002_HiSeq300x_fastq/	Ashkenazi Jewish
HG002	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG002_Illumina paired end WGS_replicate 58	SRX847919	NCBI Sequence Read Archive	SRX847919	http://www.ncbi.nlm.nih.gov/sra/SRX847919	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/AshkenazimTrio/HG002_NA24385_son/NIST_HiSeq_HG002_Homogeneity-10953946/HG002_HiSeq300x_fastq/	Ashkenazi Jewish
HG002	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG002_Illumina paired end WGS_replicate 59	SRX847920	NCBI Sequence Read Archive	SRX847920	http://www.ncbi.nlm.nih.gov/sra/SRX847920	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/AshkenazimTrio/HG002_NA24385_son/NIST_HiSeq_HG002_Homogeneity-10953946/HG002_HiSeq300x_fastq/	Ashkenazi Jewish
HG002	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG002_Illumina paired end WGS_replicate 60	SRX847921	NCBI Sequence Read Archive	SRX847921	http://www.ncbi.nlm.nih.gov/sra/SRX847921	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/AshkenazimTrio/HG002_NA24385_son/NIST_HiSeq_HG002_Homogeneity-10953946/HG002_HiSeq300x_fastq/	Ashkenazi Jewish
HG002	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG002_Illumina paired end WGS_replicate 61	SRX847922	NCBI Sequence Read Archive	SRX847922	http://www.ncbi.nlm.nih.gov/sra/SRX847922	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/AshkenazimTrio/HG002_NA24385_son/NIST_HiSeq_HG002_Homogeneity-10953946/HG002_HiSeq300x_fastq/	Ashkenazi Jewish
HG002	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG002_Illumina paired end WGS_replicate 62	SRX847923	NCBI Sequence Read Archive	SRX847923	http://www.ncbi.nlm.nih.gov/sra/SRX847923	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/AshkenazimTrio/HG002_NA24385_son/NIST_HiSeq_HG002_Homogeneity-10953946/HG002_HiSeq300x_fastq/	Ashkenazi Jewish
HG002	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG002_Illumina paired end WGS_replicate 63	SRX847924	NCBI Sequence Read Archive	SRX847924	http://www.ncbi.nlm.nih.gov/sra/SRX847924	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/AshkenazimTrio/HG002_NA24385_son/NIST_HiSeq_HG002_Homogeneity-10953946/HG002_HiSeq300x_fastq/	Ashkenazi Jewish
HG002	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG002_Illumina paired end WGS_replicate 64	SRX847925	NCBI Sequence Read Archive	SRX847925	http://www.ncbi.nlm.nih.gov/sra/SRX847925	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/AshkenazimTrio/HG002_NA24385_son/NIST_HiSeq_HG002_Homogeneity-10953946/HG002_HiSeq300x_fastq/	Ashkenazi Jewish
HG002	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG002_Illumina paired end WGS_replicate 65	SRX847926	NCBI Sequence Read Archive	SRX847926	http://www.ncbi.nlm.nih.gov/sra/SRX847926	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/AshkenazimTrio/HG002_NA24385_son/NIST_HiSeq_HG002_Homogeneity-10953946/HG002_HiSeq300x_fastq/	Ashkenazi Jewish
HG002	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG002_Illumina paired end WGS_replicate 66	SRX847927	NCBI Sequence Read Archive	SRX847927	http://www.ncbi.nlm.nih.gov/sra/SRX847927	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/AshkenazimTrio/HG002_NA24385_son/NIST_HiSeq_HG002_Homogeneity-10953946/HG002_HiSeq300x_fastq/	Ashkenazi Jewish
HG002	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG002_Illumina paired end WGS_replicate 67	SRX847928	NCBI Sequence Read Archive	SRX847928	http://www.ncbi.nlm.nih.gov/sra/SRX847928	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/AshkenazimTrio/HG002_NA24385_son/NIST_HiSeq_HG002_Homogeneity-10953946/HG002_HiSeq300x_fastq/	Ashkenazi Jewish
HG002	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG002_Illumina paired end WGS_replicate 68	SRX847929	NCBI Sequence Read Archive	SRX847929	http://www.ncbi.nlm.nih.gov/sra/SRX847929	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/AshkenazimTrio/HG002_NA24385_son/NIST_HiSeq_HG002_Homogeneity-10953946/HG002_HiSeq300x_fastq/	Ashkenazi Jewish
HG002	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG002_Illumina paired end WGS_replicate 69	SRX847930	NCBI Sequence Read Archive	SRX847930	http://www.ncbi.nlm.nih.gov/sra/SRX847930	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/AshkenazimTrio/HG002_NA24385_son/NIST_HiSeq_HG002_Homogeneity-10953946/HG002_HiSeq300x_fastq/	Ashkenazi Jewish
HG002	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG002_Illumina paired end WGS_replicate 70	SRX847931	NCBI Sequence Read Archive	SRX847931	http://www.ncbi.nlm.nih.gov/sra/SRX847931	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/AshkenazimTrio/HG002_NA24385_son/NIST_HiSeq_HG002_Homogeneity-10953946/HG002_HiSeq300x_fastq/	Ashkenazi Jewish
HG002	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG002_Illumina paired end WGS_replicate 71	SRX847932	NCBI Sequence Read Archive	SRX847932	http://www.ncbi.nlm.nih.gov/sra/SRX847932	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/AshkenazimTrio/HG002_NA24385_son/NIST_HiSeq_HG002_Homogeneity-10953946/HG002_HiSeq300x_fastq/	Ashkenazi Jewish
HG002	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG002_Illumina paired end WGS_replicate 72	SRX847933	NCBI Sequence Read Archive	SRX847933	http://www.ncbi.nlm.nih.gov/sra/SRX847933	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/AshkenazimTrio/HG002_NA24385_son/NIST_HiSeq_HG002_Homogeneity-10953946/HG002_HiSeq300x_fastq/	Ashkenazi Jewish
HG002	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG002_Illumina paired end WGS_replicate 73	SRX847934	NCBI Sequence Read Archive	SRX847934	http://www.ncbi.nlm.nih.gov/sra/SRX847934	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/AshkenazimTrio/HG002_NA24385_son/NIST_HiSeq_HG002_Homogeneity-10953946/HG002_HiSeq300x_fastq/	Ashkenazi Jewish
HG002	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG002_Illumina paired end WGS_replicate 74	SRX847935	NCBI Sequence Read Archive	SRX847935	http://www.ncbi.nlm.nih.gov/sra/SRX847935	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/AshkenazimTrio/HG002_NA24385_son/NIST_HiSeq_HG002_Homogeneity-10953946/HG002_HiSeq300x_fastq/	Ashkenazi Jewish
HG002	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG002_Illumina paired end WGS_replicate 75	SRX847936	NCBI Sequence Read Archive	SRX847936	http://www.ncbi.nlm.nih.gov/sra/SRX847936	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/AshkenazimTrio/HG002_NA24385_son/NIST_HiSeq_HG002_Homogeneity-10953946/HG002_HiSeq300x_fastq/	Ashkenazi Jewish
HG002	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG002_Illumina paired end WGS_replicate 76	SRX847937	NCBI Sequence Read Archive	SRX847937	http://www.ncbi.nlm.nih.gov/sra/SRX847937	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/AshkenazimTrio/HG002_NA24385_son/NIST_HiSeq_HG002_Homogeneity-10953946/HG002_HiSeq300x_fastq/	Ashkenazi Jewish
HG002	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG002_Illumina paired end WGS_replicate 77	SRX847938	NCBI Sequence Read Archive	SRX847938	http://www.ncbi.nlm.nih.gov/sra/SRX847938	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/AshkenazimTrio/HG002_NA24385_son/NIST_HiSeq_HG002_Homogeneity-10953946/HG002_HiSeq300x_fastq/	Ashkenazi Jewish
HG002	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG002_Illumina paired end WGS_replicate 78	SRX847939	NCBI Sequence Read Archive	SRX847939	http://www.ncbi.nlm.nih.gov/sra/SRX847939	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/AshkenazimTrio/HG002_NA24385_son/NIST_HiSeq_HG002_Homogeneity-10953946/HG002_HiSeq300x_fastq/	Ashkenazi Jewish
HG002	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG002_Illumina paired end WGS_replicate 79	SRX847940	NCBI Sequence Read Archive	SRX847940	http://www.ncbi.nlm.nih.gov/sra/SRX847940	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/AshkenazimTrio/HG002_NA24385_son/NIST_HiSeq_HG002_Homogeneity-10953946/HG002_HiSeq300x_fastq/	Ashkenazi Jewish
HG002	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG002_Illumina paired end WGS_replicate 80	SRX847941	NCBI Sequence Read Archive	SRX847941	http://www.ncbi.nlm.nih.gov/sra/SRX847941	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/AshkenazimTrio/HG002_NA24385_son/NIST_HiSeq_HG002_Homogeneity-10953946/HG002_HiSeq300x_fastq/	Ashkenazi Jewish
HG002	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG002_Illumina paired end WGS_replicate 81	SRX847942	NCBI Sequence Read Archive	SRX847942	http://www.ncbi.nlm.nih.gov/sra/SRX847942	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/AshkenazimTrio/HG002_NA24385_son/NIST_HiSeq_HG002_Homogeneity-10953946/HG002_HiSeq300x_fastq/	Ashkenazi Jewish
HG002	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG002_Illumina paired end WGS_replicate 82	SRX847943	NCBI Sequence Read Archive	SRX847943	http://www.ncbi.nlm.nih.gov/sra/SRX847943	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/AshkenazimTrio/HG002_NA24385_son/NIST_HiSeq_HG002_Homogeneity-10953946/HG002_HiSeq300x_fastq/	Ashkenazi Jewish
HG002	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG002_Illumina paired end WGS_replicate 83	SRX847944	NCBI Sequence Read Archive	SRX847944	http://www.ncbi.nlm.nih.gov/sra/SRX847944	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/AshkenazimTrio/HG002_NA24385_son/NIST_HiSeq_HG002_Homogeneity-10953946/HG002_HiSeq300x_fastq/	Ashkenazi Jewish
HG002	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG002_Illumina paired end WGS_replicate 84	SRX847945	NCBI Sequence Read Archive	SRX847945	http://www.ncbi.nlm.nih.gov/sra/SRX847945	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/AshkenazimTrio/HG002_NA24385_son/NIST_HiSeq_HG002_Homogeneity-10953946/HG002_HiSeq300x_fastq/	Ashkenazi Jewish
HG002	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG002_Illumina paired end WGS_replicate 85	SRX847946	NCBI Sequence Read Archive	SRX847946	http://www.ncbi.nlm.nih.gov/sra/SRX847946	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/AshkenazimTrio/HG002_NA24385_son/NIST_HiSeq_HG002_Homogeneity-10953946/HG002_HiSeq300x_fastq/	Ashkenazi Jewish
HG002	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG002_Illumina paired end WGS_replicate 86	SRX847947	NCBI Sequence Read Archive	SRX847947	http://www.ncbi.nlm.nih.gov/sra/SRX847947	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/AshkenazimTrio/HG002_NA24385_son/NIST_HiSeq_HG002_Homogeneity-10953946/HG002_HiSeq300x_fastq/	Ashkenazi Jewish
HG002	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG002_Illumina paired end WGS_replicate 87	SRX847948	NCBI Sequence Read Archive	SRX847948	http://www.ncbi.nlm.nih.gov/sra/SRX847948	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/AshkenazimTrio/HG002_NA24385_son/NIST_HiSeq_HG002_Homogeneity-10953946/HG002_HiSeq300x_fastq/	Ashkenazi Jewish
HG002	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG002_Illumina paired end WGS_replicate 88	SRX847949	NCBI Sequence Read Archive	SRX847949	http://www.ncbi.nlm.nih.gov/sra/SRX847949	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/AshkenazimTrio/HG002_NA24385_son/NIST_HiSeq_HG002_Homogeneity-10953946/HG002_HiSeq300x_fastq/	Ashkenazi Jewish
HG002	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG002_Illumina paired end WGS_replicate 89	SRX847950	NCBI Sequence Read Archive	SRX847950	http://www.ncbi.nlm.nih.gov/sra/SRX847950	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/AshkenazimTrio/HG002_NA24385_son/NIST_HiSeq_HG002_Homogeneity-10953946/HG002_HiSeq300x_fastq/	Ashkenazi Jewish
HG002	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG002_Illumina paired end WGS_replicate 90	SRX847951	NCBI Sequence Read Archive	SRX847951	http://www.ncbi.nlm.nih.gov/sra/SRX847951	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/AshkenazimTrio/HG002_NA24385_son/NIST_HiSeq_HG002_Homogeneity-10953946/HG002_HiSeq300x_fastq/	Ashkenazi Jewish
HG002	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG002_Illumina paired end WGS_replicate 91	SRX847952	NCBI Sequence Read Archive	SRX847952	http://www.ncbi.nlm.nih.gov/sra/SRX847952	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/AshkenazimTrio/HG002_NA24385_son/NIST_HiSeq_HG002_Homogeneity-10953946/HG002_HiSeq300x_fastq/	Ashkenazi Jewish
HG002	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG002_Illumina paired end WGS_replicate 92	SRX847953	NCBI Sequence Read Archive	SRX847953	http://www.ncbi.nlm.nih.gov/sra/SRX847953	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/AshkenazimTrio/HG002_NA24385_son/NIST_HiSeq_HG002_Homogeneity-10953946/HG002_HiSeq300x_fastq/	Ashkenazi Jewish
HG002	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG002_Illumina paired end WGS_replicate 93	SRX847954	NCBI Sequence Read Archive	SRX847954	http://www.ncbi.nlm.nih.gov/sra/SRX847954	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/AshkenazimTrio/HG002_NA24385_son/NIST_HiSeq_HG002_Homogeneity-10953946/HG002_HiSeq300x_fastq/	Ashkenazi Jewish
HG002	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG002_Illumina paired end WGS_replicate 94	SRX847955	NCBI Sequence Read Archive	SRX847955	http://www.ncbi.nlm.nih.gov/sra/SRX847955	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/AshkenazimTrio/HG002_NA24385_son/NIST_HiSeq_HG002_Homogeneity-10953946/HG002_HiSeq300x_fastq/	Ashkenazi Jewish
HG002	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG002_Illumina paired end WGS_replicate 95	SRX847956	NCBI Sequence Read Archive	SRX847956	http://www.ncbi.nlm.nih.gov/sra/SRX847956	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/AshkenazimTrio/HG002_NA24385_son/NIST_HiSeq_HG002_Homogeneity-10953946/HG002_HiSeq300x_fastq/	Ashkenazi Jewish
HG002	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG002_Illumina paired end WGS_replicate 96	SRX847957	NCBI Sequence Read Archive	SRX847957	http://www.ncbi.nlm.nih.gov/sra/SRX847957	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/AshkenazimTrio/HG002_NA24385_son/NIST_HiSeq_HG002_Homogeneity-10953946/HG002_HiSeq300x_fastq/	Ashkenazi Jewish
HG002	Illumina paired end WGS	NIST	Illumina HiSeq 2500 Rapid SBS	WGS paired end PCR-free	564.56	base pair	UO	UO:0000244	2 x 148	base pair	UO	UO:0000244	1-4X (300X total)	HG002_Illumina paired end WGS_replicate 97	SRX847958	NCBI Sequence Read Archive	SRX847958	http://www.ncbi.nlm.nih.gov/sra/SRX847958	ftp://ftp-trace.ncbi.nlm.nih.gov/giab/ftp/data/AshkenazimTrio/HG002_NA24385_son/NIST_HiSeq_HG002_Homogeneity-10953946/HG002_HiSeq300x_fastq/	Ashkenazi Jewish
